concurso,data,resultado
2000,31/12/2017, 03  06  10  17  34  37 
2007,24/01/2018, 04  14  39  41  54  58 
2005,17/01/2018, 11  19  22  33  34  53 
2002,06/01/2018, 04  28  30  38  46  59 
2004,13/01/2018, 01  05  14  23  35  45 
2006,20/01/2018, 01  09  14  20  25  54 
2001,03/01/2018, 20  22  36  42  52  60 
2003,10/01/2018, 28  34  40  43  50  51 
2009,31/01/2018, 01  37  44  46  48  50 
2008,27/01/2018, 22  27  33  42  58  59 
2011,06/02/2018, 02  28  32  35  54  58 
2010,03/02/2018, 08  10  18  34  39  56 
2012,08/02/2018, 08  11  27  35  36  51 
2015,17/02/2018, 17  18  27  32  39  58 
2014,14/02/2018, 16  32  40  46  53  56 
2013,10/02/2018, 06  23  30  36  53  56 
2017,24/02/2018, 02  10  11  24  38  56 
2018,28/02/2018, 11  22  25  27  55  59 
2020,07/03/2018, 02  36  46  48  57  60 
2019,03/03/2018, 23  41  46  52  54  59 
2021,10/03/2018, 07  14  32  37  40  60 
2024,21/03/2018, 16  20  23  29  35  47 
2016,21/02/2018, 04  11  17  18  21  48 
2026,28/03/2018, 10  23  31  33  51  52 
2023,17/03/2018, 01  06  07  08  23  56 
2025,24/03/2018, 04  24  46  52  55  56 
2028,04/04/2018,  07  11  24  36  42  58 
2027,31/03/2018, 11  15  29  37  39  44 
2031,14/04/2018, 18  23  37  39  50  55 
2022,14/03/2018, 04  28  45  48  52  60 
2030,11/04/2018, 04  27  38  40  58  59 
2029,07/04/2018, 06  15  18  33  37  40 
2032,17/04/2018, 06  14  19  20  39  53 
2040,12/05/2018, 06  09  41  54  56  58 
2041,16/05/2018, 10  12  22  25  42  54 
2033,20/04/2018, 10  18  33  38  40  43 
2042,19/05/2018, 14  22  29  32  33  35 
2039,10/05/2018, 06  12  22  28  31  44 
2044,26/05/2018, 07  14  47  54  56  60 
2038,08/05/2018, 06  25  26  35  38  40 
2046,02/06/2018, 03  06  11  27  28  46 
2043,23/05/2018, 21  38  53  56  57  58 
2048,09/06/2018, 10  19  26  35  38  39 
2045,30/05/2018, 15  25  27  45  46  50 
2050,16/06/2018, 08  31  32  33  38  50 
2052,23/06/2018, 50  51  56  57  58  59 
2049,13/06/2018, 10  19  27  31  51  53 
2051,20/06/2018, 01  05  06  37  44  53 
2053,27/06/2018, 12  22  27  37  40  55 
2055,03/07/2018, 06  25  35  43  46  53 
2056,05/07/2018, 18  22  29  34  36  47 
2058,11/07/2018, 04  19  23  29  56  59 
2036,02/05/2018, 07  08  19  23  27  58 
2034,25/04/2018, 06  07  13  17  22  56 
2037,05/05/2018, 14  16  23  30  45  60 
2060,18/07/2018, 08  09  11  25  39  41 
2062,25/07/2018, 08  10  15  23  25  34 
2061,21/07/2018, 33  36  40  44  45  54 
2064,01/08/2018, 10  14  36  53  55  60 
2057,07/07/2018, 10  13  20  37  38  54 
2063,28/07/2018, 06  10  19  24  25  29 
2059,14/07/2018, 04  05  36  40  44  56 
2067,11/08/2018, 02  11  13  26  32  59 
2054,30/06/2018, 04  07  12  22  26  39 
2065,04/08/2018, 04  11  20  30  37  43 
2071,22/08/2018, 24  33  34  35  46  60 
2069,16/08/2018, 03  17  34  35  40  48 
2073,29/08/2018, 12  15  18  30  52  55 
2072,25/08/2018, 10  12  13  20  22  54 
2075,05/09/2018, 07  09  23  33  57  59 
2070,18/08/2018, 05  26  27  34  42  48 
2066,08/08/2018, 06  25  27  35  45  55 
2074,01/09/2018, 08  18  23  37  42  58 
2035,28/04/2018, 30  35  36  38  49  52 
2079,18/09/2018, 01  02  14  37  55  58 
2081,22/09/2018, 13  18  35  40  41  42 
2080,20/09/2018, 10  22  40  46  55  58 
2077,12/09/2018, 13  16  26  35  37  39 
2082,26/09/2018, 06  25  33  42  48  49 
2084,03/10/2018, 07  20  26  37   38  39 
2086,10/10/2018, 04  35  43  46  47  53 
2088,17/10/2018, 03  14  24  27  38  56 
2087,13/10/2018, 02  18  19  23  34  53 
2078,15/09/2018, 02  11  15  30  36  39 
2090,23/10/2018, 08  11  18  37  40  51 
2083,29/09/2018, 01  18  19  33  56  60 
2089,20/10/2018, 05  10  32  38  48  49 
2092,27/10/2018, 11  13  15  17  22  27 
2094,03/11/2018, 04  16  19  31  33  44 
2085,06/10/2018, 12  21  25  37  38  49 
2093,31/10/2018, 08  14  27  34  52  54 
2096,10/11/2018, 06  11  13  19  24  51 
2097,14/11/2018, 09  24  28  45  49  51 
2076,08/09/2018, 05  06  12  15  22  43 
2068,14/08/2018, 03  05  09  40  42  47 
2101,28/11/2018, 02  08  18  37  56  58 
2099,21/11/2018, 05  15  20  27  30  58 
2100,24/11/2018, 01  10  11  13  35  49 
2047,06/06/2018, 01  18  19  29  44  54 
2095,07/11/2018, 16  29  35  43  49  56 
2091,25/10/2018, 10  11  12  37  38  59 
2103,04/12/2018, 03  13  40  44  46  50 
2108,18/12/2018, 19  22  29  41  44  59 
2107,15/12/2018, 08  38  44  50  56  60 
2102,01/12/2018, 04  06  17  34  51  57 
2105,08/12/2018, 11  13  16  24  31  46 
2111,02/01/2019, 01  41  44  46  54  58 
2109,20/12/2018, 04  12  16  34  44  49 
